id,year,month,element,day,temperature
MX17004,2010,1,tmax,1,
MX17004,2010,1,tmin,1,
MX17004,2010,2,tmax,1,
MX17004,2010,2,tmin,1,
MX17004,2010,3,tmax,1,
MX17004,2010,3,tmin,1,
MX17004,2010,4,tmax,1,
MX17004,2010,4,tmin,1,
MX17004,2010,5,tmax,1,
MX17004,2010,5,tmin,1,
MX17004,2010,6,tmax,1,
MX17004,2010,6,tmin,1,
MX17004,2010,7,tmax,1,
MX17004,2010,7,tmin,1,
MX17004,2010,8,tmax,1,
MX17004,2010,8,tmin,1,
MX17004,2010,10,tmax,1,
MX17004,2010,10,tmin,1,
MX17004,2010,11,tmax,1,
MX17004,2010,11,tmin,1,
MX17004,2010,12,tmax,1,29.9
MX17004,2010,12,tmin,1,13.8
MX17004,2010,1,tmax,2,
MX17004,2010,1,tmin,2,
MX17004,2010,2,tmax,2,27.3
MX17004,2010,2,tmin,2,14.4
MX17004,2010,3,tmax,2,
MX17004,2010,3,tmin,2,
MX17004,2010,4,tmax,2,
MX17004,2010,4,tmin,2,
MX17004,2010,5,tmax,2,
MX17004,2010,5,tmin,2,
MX17004,2010,6,tmax,2,
MX17004,2010,6,tmin,2,
MX17004,2010,7,tmax,2,
MX17004,2010,7,tmin,2,
MX17004,2010,8,tmax,2,
MX17004,2010,8,tmin,2,
MX17004,2010,10,tmax,2,
MX17004,2010,10,tmin,2,
MX17004,2010,11,tmax,2,31.3
MX17004,2010,11,tmin,2,16.3
MX17004,2010,12,tmax,2,
MX17004,2010,12,tmin,2,
MX17004,2010,1,tmax,3,
MX17004,2010,1,tmin,3,
MX17004,2010,2,tmax,3,24.1
MX17004,2010,2,tmin,3,14.4
MX17004,2010,3,tmax,3,
MX17004,2010,3,tmin,3,
MX17004,2010,4,tmax,3,
MX17004,2010,4,tmin,3,
MX17004,2010,5,tmax,3,
MX17004,2010,5,tmin,3,
MX17004,2010,6,tmax,3,
MX17004,2010,6,tmin,3,
MX17004,2010,7,tmax,3,28.6
MX17004,2010,7,tmin,3,17.5
MX17004,2010,8,tmax,3,
MX17004,2010,8,tmin,3,
MX17004,2010,10,tmax,3,
MX17004,2010,10,tmin,3,
MX17004,2010,11,tmax,3,
MX17004,2010,11,tmin,3,
MX17004,2010,12,tmax,3,
MX17004,2010,12,tmin,3,
MX17004,2010,1,tmax,4,
MX17004,2010,1,tmin,4,
MX17004,2010,2,tmax,4,
MX17004,2010,2,tmin,4,
MX17004,2010,3,tmax,4,
MX17004,2010,3,tmin,4,
MX17004,2010,4,tmax,4,
MX17004,2010,4,tmin,4,
MX17004,2010,5,tmax,4,
MX17004,2010,5,tmin,4,
MX17004,2010,6,tmax,4,
MX17004,2010,6,tmin,4,
MX17004,2010,7,tmax,4,
MX17004,2010,7,tmin,4,
MX17004,2010,8,tmax,4,
MX17004,2010,8,tmin,4,
MX17004,2010,10,tmax,4,
MX17004,2010,10,tmin,4,
MX17004,2010,11,tmax,4,27.2
MX17004,2010,11,tmin,4,12.0
MX17004,2010,12,tmax,4,
MX17004,2010,12,tmin,4,
MX17004,2010,1,tmax,5,
MX17004,2010,1,tmin,5,
MX17004,2010,2,tmax,5,
MX17004,2010,2,tmin,5,
MX17004,2010,3,tmax,5,32.1
MX17004,2010,3,tmin,5,14.2
MX17004,2010,4,tmax,5,
MX17004,2010,4,tmin,5,
MX17004,2010,5,tmax,5,
MX17004,2010,5,tmin,5,
MX17004,2010,6,tmax,5,
MX17004,2010,6,tmin,5,
MX17004,2010,7,tmax,5,
MX17004,2010,7,tmin,5,
MX17004,2010,8,tmax,5,29.6
MX17004,2010,8,tmin,5,15.8
MX17004,2010,10,tmax,5,27.0
MX17004,2010,10,tmin,5,14.0
MX17004,2010,11,tmax,5,26.3
MX17004,2010,11,tmin,5,7.9
MX17004,2010,12,tmax,5,
MX17004,2010,12,tmin,5,
MX17004,2010,1,tmax,6,
MX17004,2010,1,tmin,6,
MX17004,2010,2,tmax,6,
MX17004,2010,2,tmin,6,
MX17004,2010,3,tmax,6,
MX17004,2010,3,tmin,6,
MX17004,2010,4,tmax,6,
MX17004,2010,4,tmin,6,
MX17004,2010,5,tmax,6,
MX17004,2010,5,tmin,6,
MX17004,2010,6,tmax,6,
MX17004,2010,6,tmin,6,
MX17004,2010,7,tmax,6,
MX17004,2010,7,tmin,6,
MX17004,2010,8,tmax,6,
